fund_id,fund_name,fund_time
000697,汇添富移动互联股票,20201207
000696,汇添富环保行业股票,20201207
000925,汇添富外延增长主题股票,20201207
001050,汇添富成长多因子量化策略股票,20201207
001490,汇添富国企创新股票,20201207
001541,汇添富民营新动力股票,20201207
001726,汇添富新兴消费股票,20201207
001685,汇添富沪港深新价值股票,20201207
001725,汇添富高端制造股票,20201207
005802,添富智能制造股票,20201207
007523,汇添富内需增长股票A,20201207
007524,汇添富内需增长股票C,20201207
009550,汇添富开放视野中国优势六个月持有股票A,20201207
009551,汇添富开放视野中国优势六个月持有股票C,20201207
519008,汇添富优势精选混合,20201207
519018,汇添富均衡增长混合,20201207
519068,汇添富成长焦点混合,20201207
519066,汇添富蓝筹稳健混合,20201207
519069,汇添富价值精选混合,20201207
470008,汇添富策略回报混合,20201207
470009,汇添富民营活力混合,20201207
470006,汇添富医药保健混合,20201207
470028,汇添富社会责任混合,20201207
470098,汇添富逆向投资混合,20201207
000083,汇添富消费行业混合,20201207
000173,汇添富美丽30混合,20201207
001417,汇添富医疗服务混合,20201207
001796,汇添富安鑫智选混合A,20201207
002158,汇添富安鑫智选混合C,20201207
001801,汇添富达欣混合A,20201207
002165,汇添富达欣混合C,20201207
470021,汇添富优选回报混合A,20201207
002418,汇添富优选回报混合C,20201207
002420,汇添富盈鑫混合,20201207
002419,汇添富盈安混合,20201207
002746,汇添富多策略定开混合,20201207
002959,汇添富盈泰混合,20201207
003189,汇添富保鑫混合,20201207
001816,汇添富新睿精选混合A,20201207
002164,汇添富新睿精选混合C,20201207
000762,汇添富绝对收益定开混合A,20201207
004436,添富年年泰定开混合A,20201207
004437,添富年年泰定开混合C,20201207
004451,添富年年丰定开混合A,20201207
004452,添富年年丰定开混合C,20201207
004534,添富年年益定开混合A,20201207
004535,添富年年益定开混合C,20201207
004774,添富添福吉祥混合,20201207
004946,添富盈润混合A,20201207
004947,添富盈润混合C,20201207
008140,汇添富绝对收益定开混合C,20201207
501039,汇添富睿丰混合（LOF）A,20201207
501040,汇添富睿丰混合（LOF）C,20201207
501041,汇添富弘安混合A,20201207
501042,汇添富弘安混合C,20201207
004270,汇添富民丰回报混合A,20201207
004271,汇添富民丰回报混合C,20201207
005228,添富港股通专注成长,20201207
004687,添富熙和混合A,20201207
004688,添富熙和混合C,20201207
005379,添富价值创造定开混合,20201207
005329,添富民安增益定开混合A,20201207
005330,添富民安增益定开混合C,20201207
005351,添富行业整合混合,20201207
005504,添富沪港深大盘价值混合,20201207
004424,汇添富文体娱乐混合,20201207
501188,添富3年封闭配售混合（LOF）,20201207
006113,添富创新医药混合,20201207
006205,添富沪港深优势定开,20201207
501065,汇添富经典成长定开混合,20201207
006408,添富消费升级混合,20201207
006696,添富3年封闭研究优选混合,20201204
006763,汇添富养老2030三年持有混合（FOF）,20201203
501063,添富悦享定开混合,20201207
007059,汇添富养老2040五年持有混合（FOF）,20201203
006259,添富红利增长混合A,20201207
006260,添富红利增长混合C,20201207
007355,汇添富科技创新混合A,20201207
007356,汇添富科技创新混合C,20201207
007060,汇添富养老2050五年持有混合（FOF）,20201203
007639,汇添富3年封闭竞争优势混合,20201204
008025,汇添富稳健增长混合A,20201207
008026,汇添富稳健增长混合C,20201207
008063,汇添富大盘核心资产混合,20201207
008065,汇添富中盘积极成长混合A,20201207
008066,汇添富中盘积极成长混合C,20201207
008169,汇添富核心优势三个月混合FOF,20201203
008168,汇添富聚焦价值成长三个月混合FOF,20201203
009391,汇添富优质成长混合A,20201207
009392,汇添富优质成长混合C,20201207
009536,汇添富稳健增益一年持有混合,20201207
009548,汇添富中盘价值精选混合A,20201207
009549,汇添富中盘价值精选混合C,20201207
009683,汇添富创新增长一年定开混合A,20201204
009684,汇添富创新增长一年定开混合C,20201204
009736,汇添富稳健收益混合A,20201207
009737,汇添富稳健收益混合C,20201207
009715,汇添富策略增长两年封闭混合,20201204
009664,汇添富医疗积极成长一年持有混合A,20201207
009665,汇添富医疗积极成长一年持有混合C,20201207
506006,汇添富科创板2年定开混合,20201204
010045,汇添富稳健添盈一年持有混合,20201204
010298,汇添富品牌驱动六个月持有混合,20201204
010318,汇添富创新未来18个月封闭混合,20201207
010439,汇添富稳健汇盈一年持有混合,20201204
010557,汇添富数字生活六个月持有混合,20201204
010481,汇添富高质量成长精选2年持有混合,20201204
010686,汇添富创新未来18个月封闭混合B,20201207
