fund_id,fund_stock_name,fund_stock_ratio,fund_time
004975,招商银行,,20200930
004975,三全食品,,20200930
004975,保利地产,,20200930
004975,成都银行,,20200930
004075,迈瑞医疗,,20200930
004075,药明康德,,20200930
004075,恒瑞医药,,20200930
004075,爱尔眼科,,20200930
004868,贵州茅台,,20200930
004868,洋河股份,,20200930
004868,五 粮 液,,20200930
004868,汤臣倍健,,20200930
005004,贵州茅台,,20200930
005004,洋河股份,,20200930
005004,五 粮 液,,20200930
005004,汤臣倍健,,20200930
006202,腾讯控股,,20200930
006223,腾讯控股,,20200930
006202,贵州茅台,,20200930
006202,立讯精密,,20200930
006202,中升控股,,20200930
003900,中国太保,,20200930
006223,美团-W,,20200930
006223,三全食品,,20200930
006223,中公教育,,20200930
005001,万  科Ａ,,20200930
003900,京东方Ａ,,20200930
003900,成都银行,,20200930
003900,荣盛石化,,20200930
005001,三花智控,,20200930
005001,保利地产,,20200930
005001,紫光国微,,20200930
008955,紫光国微,,20200930
008955,亿纬锂能,,20200930
008955,东方雨虹,,20200930
008955,顺丰控股,,20200930
008507,顺丰控股,,20200930
008507,美的集团,,20200930
008507,芒果超媒,,20200930
008507,视源股份,,20200930
501087,顺丰控股,,20200930
501087,东方雨虹,,20200930
501087,绝味食品,,20200930
501087,腾讯控股,,20200930
008734,紫光国微,,20200930
008734,顺丰控股,,20200930
008734,三花智控,,20200930
008734,芒果超媒,,20200930
519688,顺丰控股,,20200930
009402,紫光国微,,20200930
501092,顺丰控股,,20200930
519690,中南建设,,20200930
009618,贵州茅台,,20200930
519688,东方雨虹,,20200930
519688,绝味食品,,20200930
519688,万  科Ａ,,20200930
009402,鸿远电子,,20200930
009402,华夏航空,,20200930
009402,振华科技,,20200930
501092,海尔智家,,20200930
501092,金地集团,,20200930
501092,华夏航空,,20200930
519690,格力电器,,20200930
519690,保利地产,,20200930
519690,阳 光 城,,20200930
009618,药明康德,,20200930
009618,顺丰控股,,20200930
009618,泸州老窖,,20200930
519697,万  科Ａ,,20200930
519692,三全食品,,20200930
519694,三全食品,,20200930
519714,贵州茅台,,20200930
519702,焦点科技,,20200930
519698,东方雨虹,,20200930
519704,紫光国微,,20200930
519700,顺丰控股,,20200930
519697,三花智控,,20200930
519697,紫光国微,,20200930
519697,保利地产,,20200930
519710,贵州茅台,,20200930
519692,绝味食品,,20200930
519692,中公教育,,20200930
519692,健友股份,,20200930
519694,绝味食品,,20200930
519694,健友股份,,20200930
519694,中公教育,,20200930
519714,洋河股份,,20200930
519714,五 粮 液,,20200930
519714,汤臣倍健,,20200930
519702,海尔智家,,20200930
519702,宝钢包装,,20200930
519702,电科院,,20200930
519698,顺丰控股,,20200930
519698,顾家家居,,20200930
519698,振华科技,,20200930
519704,鸿远电子,,20200930
519704,华夏航空,,20200930
519704,新华保险,,20200930
519700,海尔智家,,20200930
519700,中信证券,,20200930
519700,金地集团,,20200930
519710,洋河股份,,20200930
519710,五 粮 液,,20200930
519710,汤臣倍健,,20200930
519732,顺丰控股,,20200930
519736,顺丰控股,,20200930
519712,万  科Ａ,,20200930
519738,东方雨虹,,20200930
519752,贵州茅台,,20200930
519727,亿纬锂能,,20200930
519755,保利地产,,20200930
519732,美的集团,,20200930
519732,芒果超媒,,20200930
519732,视源股份,,20200930
519736,东方雨虹,,20200930
519736,绝味食品,,20200930
519736,万  科Ａ,,20200930
519712,三花智控,,20200930
519712,保利地产,,20200930
519712,紫光国微,,20200930
519738,保利地产,,20200930
519738,华峰氨纶,,20200930
519738,立讯精密,,20200930
519752,立讯精密,,20200930
519752,华峰氨纶,,20200930
519752,成都银行,,20200930
519727,紫光国微,,20200930
519727,立讯精密,,20200930
519727,保利地产,,20200930
519755,立讯精密,,20200930
519755,中国太保,,20200930
519755,华峰氨纶,,20200930
519759,东方雨虹,,20200930
519760,贵州茅台,,20200930
519761,保利地产,,20200930
519766,万  科Ａ,,20200930
519756,中信证券,,20200930
519759,保利地产,,20200930
519759,华峰氨纶,,20200930
519759,立讯精密,,20200930
519760,立讯精密,,20200930
519760,华峰氨纶,,20200930
519760,成都银行,,20200930
519761,立讯精密,,20200930
519761,中国太保,,20200930
519761,华峰氨纶,,20200930
519766,中国建筑,,20200930
519766,招商银行,,20200930
519766,成都银行,,20200930
519756,华泰证券,,20200930
519756,保利地产,,20200930
519756,荃银高科,,20200930
519767,菲利华,,20200930
519768,东方雨虹,,20200930
519767,康泰生物,,20200930
519767,紫光国微,,20200930
519767,火炬电子,,20200930
519768,保利地产,,20200930
519768,贵州茅台,,20200930
519768,成都银行,,20200930
519769,东方雨虹,,20200930
519769,保利地产,,20200930
519769,贵州茅台,,20200930
519769,成都银行,,20200930
519770,东方雨虹,,20200930
519770,保利地产,,20200930
519770,贵州茅台,,20200930
519770,成都银行,,20200930
519771,东方雨虹,,20200930
519771,保利地产,,20200930
519771,贵州茅台,,20200930
519771,成都银行,,20200930
519778,亿纬锂能,,20200930
519778,紫光国微,,20200930
519778,立讯精密,,20200930
519778,东方雨虹,,20200930
519772,顺丰控股,,20200930
519772,美的集团,,20200930
519772,芒果超媒,,20200930
519772,视源股份,,20200930
519779,腾讯控股,,20200930
519779,美团-W,,20200930
519779,贵州茅台,,20200930
519779,顺丰控股,,20200930
519773,紫光国微,,20200930
519773,顺丰控股,,20200930
519773,东方雨虹,,20200930
519773,绝味食品,,20200930
